convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,11,7,Square,87.91443883,0.836477409
Fibonacci,11,7,Cube,88.11161488,0.764847191
Fibonacci,11,7,Prime Numbers,86.27535791,0.811361837
Fibonacci,11,7,Ramanujan Summation,85.86588583,0.875470655
Fibonacci,11,7,Triangular Numbers,88.67767682,0.863835096
Fibonacci,11,8,Fibonacci,90.53231401,0.852759147
Fibonacci,11,8,Square,89.45151346,0.803259671
Fibonacci,11,8,Cube,91.75115198,0.884279386
Fibonacci,11,8,Prime Numbers,90.31567463,0.852969062
Fibonacci,11,8,Ramanujan Summation,91.37929718,0.73598422
Fibonacci,11,8,Triangular Numbers,90.26751848,0.891131491
Fibonacci,11,9,Fibonacci,95.06074792,0.878788358
Fibonacci,11,9,Square,94.75534084,0.940122562
Fibonacci,11,9,Cube,92.75103585,0.825236474
Fibonacci,11,9,Prime Numbers,93.97157095,0.721164809
Fibonacci,11,9,Ramanujan Summation,93.64537595,0.893954193
Fibonacci,11,9,Triangular Numbers,94.36863156,0.894578184
Fibonacci,11,10,Fibonacci,91.53507654,0.790466419
Fibonacci,11,10,Square,93.18605146,0.826075023
Fibonacci,11,10,Cube,93.55842449,1.012760887
Fibonacci,11,10,Prime Numbers,90.74126051,0.859719469
Fibonacci,11,10,Ramanujan Summation,91.31674149,0.911547949
Fibonacci,11,10,Triangular Numbers,90.46076782,0.842467009
Fibonacci,11,11,Fibonacci,91.73059317,0.765484855
Fibonacci,11,11,Square,92.71754226,0.861487088
Fibonacci,11,11,Cube,93.50235705,0.856719772
Fibonacci,11,11,Prime Numbers,92.07409478,0.850006088
Fibonacci,11,11,Ramanujan Summation,93.62861555,0.864267958
Fibonacci,11,11,Triangular Numbers,90.61989854,0.883213414
Fibonacci,11,12,Fibonacci,89.79661756,0.857494152
Fibonacci,11,12,Square,91.4444523,0.801799692
Fibonacci,11,12,Cube,91.88406545,0.88930924
Fibonacci,11,12,Prime Numbers,91.46730525,0.767531412
Fibonacci,11,12,Ramanujan Summation,89.4325579,0.762482127
Fibonacci,11,12,Triangular Numbers,91.41087996,0.901959025
Fibonacci,11,13,Fibonacci,89.6955305,0.885351014
Fibonacci,11,13,Square,91.66967255,0.857130232
Fibonacci,11,13,Cube,91.36659825,0.790227575
Fibonacci,11,13,Prime Numbers,90.06012021,0.824604453
Fibonacci,11,13,Ramanujan Summation,90.48613308,0.846862663
Fibonacci,11,13,Triangular Numbers,89.94078648,0.780205302
